"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"2022"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";;;"Branca";;;"Preta";;;"Amarela";;;"Parda";;;"Indígena"
"Região Geográfica Intermediária, Região Geográfica Imediata, Unidade da Federação, Concentração Urbana e Município";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Rio de Janeiro";"33 anos";"233888";"111257";"122631";"91833";"42516";"49317";"42610";"20916";"21694";"359";"164";"195";"98861";"47554";"51307";"220";"104";"116"
"Rio de Janeiro";"34 anos";"227415";"107965";"119450";"90168";"41646";"48522";"41506";"20307";"21199";"345";"152";"193";"95135";"45738";"49397";"250";"116";"134"
"Rio de Janeiro";"35 a 39 anos";"1214564";"573236";"641328";"483760";"221348";"262412";"215327";"104728";"110599";"2021";"953";"1068";"512052";"245561";"266491";"1342";"612";"730"
"Rio de Janeiro";"35 anos";"248964";"118303";"130661";"98579";"45583";"52996";"43761";"21556";"22205";"395";"174";"221";"105963";"50870";"55093";"251";"113";"138"
"Rio de Janeiro";"36 anos";"241608";"113710";"127898";"95943";"43851";"52092";"43099";"20918";"22181";"408";"192";"216";"101874";"48631";"53243";"278";"116";"162"
"Rio de Janeiro";"37 anos";"231877";"109042";"122835";"92587";"42242";"50345";"41438";"20013";"21425";"359";"172";"187";"97217";"46494";"50723";"263";"115";"148"
"Rio de Janeiro";"38 anos";"244164";"115335";"128829";"96893";"44087";"52806";"43277";"21060";"22217";"418";"212";"206";"103282";"49826";"53456";"275";"137";"138"
"Rio de Janeiro";"39 anos";"247951";"116846";"131105";"99758";"45585";"54173";"43752";"21181";"22571";"441";"203";"238";"103716";"49740";"53976";"275";"131";"144"
"Rio de Janeiro";"40 a 44 anos";"1293041";"612313";"680728";"523474";"238691";"284783";"224940";"109678";"115262";"2030";"874";"1156";"541135";"262370";"278765";"1419";"681";"738"
"Rio de Janeiro";"40 anos";"296918";"141503";"155415";"119655";"55052";"64603";"51330";"25404";"25926";"453";"198";"255";"125157";"60701";"64456";"315";"145";"170"
"Rio de Janeiro";"41 anos";"249065";"118298";"130767";"101646";"46940";"54706";"43475";"21068";"22407";"370";"160";"210";"103280";"49965";"53315";"287";"162";"125"
"Rio de Janeiro";"42 anos";"277839";"132026";"145813";"111905";"51050";"60855";"48501";"23819";"24682";"395";"171";"224";"116766";"56861";"59905";"265";"121";"144"
